,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,workout_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state
0,2,Evening Run,4977.8,1898,2064,29.6,Run,Run,,7352363570,2022-06-16T22:09:31Z,2022-06-16T18:09:31Z,(GMT-05:00) America/New_York,-14400.0,,,,0,4,0,1,0,False,False,False,False,everyone,False,g8269681,"[40.706895645707846, -74.31544256396592]","[40.68844615481794, -74.33096936903894]",2.623,4.439,True,171.2,187.0,False,True,45.3,24.2,7833733712.0,7833733712,2F28FFA4-5266-403D-8C8C-536E0B452CAB.fit,False,0,0,False,52122836,1,a7352363570,aqmwFpvqdMxAxAXTxC|CXTJ@VCNDVRXLhAbAp@`@^NfAHp@?b@F\BL?REFKHg@FEJ@DCCYBi@FURc@JIXGJGb@w@JGb@AFEJKBKB[EGIEGKE]?b@EJG?q@K]KQKe@c@CQV^XTh@PfANHDBDBdAI|BFvAMlA@HHDvD\T?f@E^Ml@a@f@Sd@Md@?VG`FoBfAw@f@u@P_@?Oa@m@eDcEoA{ASOkB{Bc@a@mAuAICGJMv@MVGFe@PIJSf@Rc@FIJGTEHBNHT`@\bAHn@C\_@b@e@`@SJM@UGi@[FFJHRFP@TCr@a@PSNU@[Gc@m@aC?YHo@FO@AF?h@d@^`@d@`@\\b@NRP`BxBvAxAnA~AfBjBJRjAzAbCpCb@`@|@nA`BlBd@`@hDpDfA`Af@\vA|AhA`AvA|AfA~@h@j@l@h@`A`Ah@`@d@f@b@`@v@x@z@dAlBvAPJhA\n@JzCHNNTZp@f@RVn@j@zAnBFP@b@CZI\cA|CiAfBS`@CNHx@C^mBzD,2
1,2,A fabulous long run,6533.9,2695,2765,11.2,Run,Run,0.0,6673165253,2022-02-12T14:59:44Z,2022-02-12T09:59:44Z,(GMT-05:00) America/New_York,-18000.0,,,,10,4,0,1,0,False,False,False,False,everyone,False,g8269681,"[40.7302226498723, -73.99450493976474]","[40.731699205935, -73.99509619921446]",2.424,5.934,True,165.5,175.0,False,True,13.2,1.9,7096654301.0,7096654301,9495002F-0CA6-41A6-AAFA-0007907AD9FB.fit,False,3,0,False,52122836,1,a6673165253,cgrwF|isbMWh@_@h@[n@KX]hAo@fAeAnDCZBNPTP^TT|BfBzCfC~GnFdBxApAv@JJBNCXWt@KLWREFCPClAWxBY|FGvAC`DWdDAhBGbB}@nJAn@S`@Ct@?n@CHCBMBsAI_DGuEQwAKiBGs@G[AKBW\GNAf@?`BClB@xAE`A?hBBp@BHJDFAHIHW?oBCqBBk@AgEFeACQS]UK]WSCSHu@?w@Iy@Aa@@yAKu@@yAMm@@]Aq@?}BUa@A[BwBKa@Gw@B}COGC_@Ui@Oa@Qu@UiA}@g@Se@Ic@Cm@Ha@AiAOeEq@u@Uq@m@SMwA_@UASBc@LUDQCMIEKAuAM_AEk@@g@H_@DMLOn@g@VONQXg@^aAdCuHT}@Hi@F[FQPOJUp@yBf@gB~BaHZuAx@sCfC{HXsANi@vCgIdAmCLm@DgBHc@LWj@s@h@kBXo@`B}BLKRGPAVBl@PvAr@`@Zv@r@vAhApBlApObKv@`@TDJ?PEHIR]fAiD,2
2,2,Morning Activity,0.0,2564,2564,0.0,WeightTraining,WeightTraining,,6673165257,2022-02-10T14:26:15Z,2022-02-10T09:26:15Z,(GMT-05:00) America/New_York,-18000.0,,,,0,1,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,131.0,179.0,False,True,,,7096654417.0,7096654417,BBFBB2B0-E8A3-4E85-B59D-2F247043C168.fit,False,0,0,False,52122836,1,a6673165257,,2
3,2,Sprinty sprint,4647.1,1290,2568,14.3,Run,Run,0.0,6673165326,2022-02-09T16:04:40Z,2022-02-09T11:04:40Z,(GMT-05:00) America/New_York,-18000.0,,,,7,2,0,1,0,False,False,False,False,everyone,False,g8269681,"[40.73025332763791, -73.99450728669763]","[40.73036556132138, -73.99479763582349]",3.602,11.172,True,163.9,196.0,False,True,11.6,2.1,7096654490.0,7096654490,AAE0DF06-022E-43C8-A49F-6FB772F9EEF5.fit,False,1,0,False,52122836,1,a6673165326,acrwFt`sbMoA|Dw@bBoC`Hu@vA_@z@Of@_@|@]~@{@nAa@`AMT?FPj@iApCaAvBMh@AXTtA@ZW|AVdBPvAXnD^lCPtBLvCPjBNjAh@zCd@pDP|@@PIr@KVcDzCGtE?rFCdA@lADHh@W@kA@mNEl@GdPJe@?gEC_AB_ABwEnAmQe@cDg@mEQoBUiDo@uHUmBCm@O{B?[T{@nAaD\y@\i@HYhBmEXi@\]Ti@Rm@P{@j@iBPu@Zu@~@_BFWLu@V_AVa@Re@`@sA,2
4,2,Evening Run,3220.7,1293,1293,0.0,Run,Run,,6673165322,2022-02-08T00:13:10Z,2022-02-07T19:13:10Z,(GMT-05:00) America/New_York,-18000.0,,,,0,1,0,1,0,True,False,False,False,everyone,False,g8269681,[],[],2.491,2.846,True,173.4,184.0,False,True,,,7096654513.0,7096654513,05C6D2CC-A358-4B41-A808-781AA3ADA2FE.fit,False,0,0,False,52122836,1,a6673165322,,2
5,2,Lunch Activity,0.0,3186,3186,0.0,WeightTraining,WeightTraining,,6673165446,2022-02-07T16:40:16Z,2022-02-07T11:40:16Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,113.7,161.0,False,True,,,7096654648.0,7096654648,8237277B-DF7B-446A-ADF4-175B103CC77E.fit,False,0,0,False,52122836,1,a6673165446,,2
6,2,Lunch Run,1368.1,2143,2143,0.0,Run,Run,,6673165982,2022-02-06T16:20:53Z,2022-02-06T11:20:53Z,(GMT-05:00) America/New_York,-18000.0,,,,0,1,0,1,0,True,False,False,False,everyone,False,g8269681,[],[],0.638,3.494,True,150.6,173.0,False,True,,,7096655188.0,7096655188,592BA215-9FBA-486A-ACCD-E917B28029C5.fit,False,0,0,False,52122836,1,a6673165982,,2
7,2,Morning Run,1394.1,1631,1631,0.0,Run,Run,,6673165778,2022-02-06T14:27:47Z,2022-02-06T09:27:47Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,g8269681,[],[],0.855,4.483,True,143.7,172.0,False,True,,,7096655000.0,7096655000,E4B3CF16-E05B-4A20-B2E3-17124924B6FB.fit,False,0,0,False,52122836,1,a6673165778,,2
8,2,Morning Activity,0.0,2997,2997,0.0,WeightTraining,WeightTraining,,6673167657,2022-02-04T14:38:48Z,2022-02-04T09:38:48Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,123.0,173.0,False,True,,,7096657004.0,7096657004,008E5744-8CF2-42A7-A078-FA732DD72CE7.fit,False,0,0,False,52122836,1,a6673167657,,2
9,2,Morning Run,3226.0,1297,1297,0.0,Run,Run,,6673166344,2022-02-01T13:25:35Z,2022-02-01T08:25:35Z,(GMT-05:00) America/New_York,-18000.0,,,,0,1,0,1,0,True,False,False,False,everyone,False,g8269681,[],[],2.487,3.026,True,172.4,183.0,False,True,,,7096655573.0,7096655573,F29A053A-FD4F-4AC7-866D-A79A5CF2834F.fit,False,0,0,False,52122836,1,a6673166344,,2
